"","tool","run","parameter","moment","value"
"1","nm7",1,"ofv","minimum","2668.50793105071"
"2","nm7",1,"THETA1","estimate","8.9009"
"3","nm7",1,"THETA1","prse",NA
"4","nm7",1,"THETA1","se",NA
"5","nm7",1,"THETA2","estimate","20.9039"
"6","nm7",1,"THETA2","prse",NA
"7","nm7",1,"THETA2","se",NA
"8","nm7",1,"THETA3","estimate","0.0706347"
"9","nm7",1,"THETA3","prse",NA
"10","nm7",1,"THETA3","se",NA
"11","nm7",1,"THETA4","estimate","3.36588"
"12","nm7",1,"THETA4","prse",NA
"13","nm7",1,"THETA4","se",NA
"14","nm7",1,"THETA5","estimate","116.254"
"15","nm7",1,"THETA5","prse",NA
"16","nm7",1,"THETA5","se",NA
"17","nm7",1,"THETA6","estimate","1.04097"
"18","nm7",1,"THETA6","prse",NA
"19","nm7",1,"THETA6","se",NA
"20","nm7",1,"THETA7","estimate","1.04042"
"21","nm7",1,"THETA7","prse",NA
"22","nm7",1,"THETA7","se",NA
"23","nm7",1,"OMEGA1.1","estimate","0.176076"
"24","nm7",1,"OMEGA1.1","prse",NA
"25","nm7",1,"OMEGA1.1","se",NA
"26","nm7",1,"OMEGA2.1","estimate","0"
"27","nm7",1,"OMEGA2.1","prse",NA
"28","nm7",1,"OMEGA2.1","se",NA
"29","nm7",1,"OMEGA2.2","estimate","0.0946547"
"30","nm7",1,"OMEGA2.2","prse",NA
"31","nm7",1,"OMEGA2.2","se",NA
"32","nm7",1,"OMEGA3.1","estimate","0"
"33","nm7",1,"OMEGA3.1","prse",NA
"34","nm7",1,"OMEGA3.1","se",NA
"35","nm7",1,"OMEGA3.2","estimate","0"
"36","nm7",1,"OMEGA3.2","prse",NA
"37","nm7",1,"OMEGA3.2","se",NA
"38","nm7",1,"OMEGA3.3","estimate","0.109638"
"39","nm7",1,"OMEGA3.3","prse",NA
"40","nm7",1,"OMEGA3.3","se",NA
"41","nm7",1,"SIGMA1.1","estimate","0.0621827"
"42","nm7",1,"SIGMA1.1","prse",NA
"43","nm7",1,"SIGMA1.1","se",NA
"44","nm7",1,"cov","status","0"
"45","nm7",1,"prob","text","1 phase1 2 CMT like 1004 but diff. initial on V3"
"46","nm7",1,"min","status","0"
"47","nm7",1,"data","filename","../data/1.csv"
"48","nm7",2,"ofv","minimum","2367.60145940901"
"49","nm7",2,"THETA1","estimate","10.0423"
"50","nm7",2,"THETA1","prse",NA
"51","nm7",2,"THETA1","se",NA
"52","nm7",2,"THETA2","estimate","23.4459"
"53","nm7",2,"THETA2","prse",NA
"54","nm7",2,"THETA2","se",NA
"55","nm7",2,"THETA3","estimate","0.0686106"
"56","nm7",2,"THETA3","prse",NA
"57","nm7",2,"THETA3","se",NA
"58","nm7",2,"THETA4","estimate","4.08241"
"59","nm7",2,"THETA4","prse",NA
"60","nm7",2,"THETA4","se",NA
"61","nm7",2,"THETA5","estimate","117.084"
"62","nm7",2,"THETA5","prse",NA
"63","nm7",2,"THETA5","se",NA
"64","nm7",2,"THETA6","estimate","1.03979"
"65","nm7",2,"THETA6","prse",NA
"66","nm7",2,"THETA6","se",NA
"67","nm7",2,"THETA7","estimate","1.27276"
"68","nm7",2,"THETA7","prse",NA
"69","nm7",2,"THETA7","se",NA
"70","nm7",2,"OMEGA1.1","estimate","0.285908"
"71","nm7",2,"OMEGA1.1","prse",NA
"72","nm7",2,"OMEGA1.1","se",NA
"73","nm7",2,"OMEGA2.1","estimate","0"
"74","nm7",2,"OMEGA2.1","prse",NA
"75","nm7",2,"OMEGA2.1","se",NA
"76","nm7",2,"OMEGA2.2","estimate","0.155774"
"77","nm7",2,"OMEGA2.2","prse",NA
"78","nm7",2,"OMEGA2.2","se",NA
"79","nm7",2,"OMEGA3.1","estimate","0"
"80","nm7",2,"OMEGA3.1","prse",NA
"81","nm7",2,"OMEGA3.1","se",NA
"82","nm7",2,"OMEGA3.2","estimate","0"
"83","nm7",2,"OMEGA3.2","prse",NA
"84","nm7",2,"OMEGA3.2","se",NA
"85","nm7",2,"OMEGA3.3","estimate","0.124493"
"86","nm7",2,"OMEGA3.3","prse",NA
"87","nm7",2,"OMEGA3.3","se",NA
"88","nm7",2,"SIGMA1.1","estimate","0.0649076"
"89","nm7",2,"SIGMA1.1","prse",NA
"90","nm7",2,"SIGMA1.1","se",NA
"91","nm7",2,"cov","status","0"
"92","nm7",2,"prob","text","2 phase1 2 CMT like 1004 but diff. initial on V3"
"93","nm7",2,"min","status","0"
"94","nm7",2,"data","filename","../data/2.csv"
"95","nm7",3,"ofv","minimum","2631.31812300593"
"96","nm7",3,"THETA1","estimate","4.59538"
"97","nm7",3,"THETA1","prse",NA
"98","nm7",3,"THETA1","se",NA
"99","nm7",3,"THETA2","estimate","21.0392"
"100","nm7",3,"THETA2","prse",NA
"101","nm7",3,"THETA2","se",NA
"102","nm7",3,"THETA3","estimate","0.0586357"
"103","nm7",3,"THETA3","prse",NA
"104","nm7",3,"THETA3","se",NA
"105","nm7",3,"THETA4","estimate","4.29755"
"106","nm7",3,"THETA4","prse",NA
"107","nm7",3,"THETA4","se",NA
"108","nm7",3,"THETA5","estimate","848.005"
"109","nm7",3,"THETA5","prse",NA
"110","nm7",3,"THETA5","se",NA
"111","nm7",3,"THETA6","estimate","1.48535"
"112","nm7",3,"THETA6","prse",NA
"113","nm7",3,"THETA6","se",NA
"114","nm7",3,"THETA7","estimate","2.9775"
"115","nm7",3,"THETA7","prse",NA
"116","nm7",3,"THETA7","se",NA
"117","nm7",3,"OMEGA1.1","estimate","0.324937"
"118","nm7",3,"OMEGA1.1","prse",NA
"119","nm7",3,"OMEGA1.1","se",NA
"120","nm7",3,"OMEGA2.1","estimate","0"
"121","nm7",3,"OMEGA2.1","prse",NA
"122","nm7",3,"OMEGA2.1","se",NA
"123","nm7",3,"OMEGA2.2","estimate","0.201517"
"124","nm7",3,"OMEGA2.2","prse",NA
"125","nm7",3,"OMEGA2.2","se",NA
"126","nm7",3,"OMEGA3.1","estimate","0"
"127","nm7",3,"OMEGA3.1","prse",NA
"128","nm7",3,"OMEGA3.1","se",NA
"129","nm7",3,"OMEGA3.2","estimate","0"
"130","nm7",3,"OMEGA3.2","prse",NA
"131","nm7",3,"OMEGA3.2","se",NA
"132","nm7",3,"OMEGA3.3","estimate","0.040881"
"133","nm7",3,"OMEGA3.3","prse",NA
"134","nm7",3,"OMEGA3.3","se",NA
"135","nm7",3,"SIGMA1.1","estimate","0.066667"
"136","nm7",3,"SIGMA1.1","prse",NA
"137","nm7",3,"SIGMA1.1","se",NA
"138","nm7",3,"cov","status","0"
"139","nm7",3,"prob","text","3 phase1 2 CMT like 1004 but diff. initial on V3"
"140","nm7",3,"min","status","0"
"141","nm7",3,"data","filename","../data/3.csv"
"142","nm7",4,"ofv","minimum","2256.88800111087"
"143","nm7",4,"THETA1","estimate","9.01211"
"144","nm7",4,"THETA1","prse",NA
"145","nm7",4,"THETA1","se",NA
"146","nm7",4,"THETA2","estimate","21.5581"
"147","nm7",4,"THETA2","prse",NA
"148","nm7",4,"THETA2","se",NA
"149","nm7",4,"THETA3","estimate","0.0697423"
"150","nm7",4,"THETA3","prse",NA
"151","nm7",4,"THETA3","se",NA
"152","nm7",4,"THETA4","estimate","3.28249"
"153","nm7",4,"THETA4","prse",NA
"154","nm7",4,"THETA4","se",NA
"155","nm7",4,"THETA5","estimate","100.44"
"156","nm7",4,"THETA5","prse",NA
"157","nm7",4,"THETA5","se",NA
"158","nm7",4,"THETA6","estimate","1.303"
"159","nm7",4,"THETA6","prse",NA
"160","nm7",4,"THETA6","se",NA
"161","nm7",4,"THETA7","estimate","0.715417"
"162","nm7",4,"THETA7","prse",NA
"163","nm7",4,"THETA7","se",NA
"164","nm7",4,"OMEGA1.1","estimate","0.161492"
"165","nm7",4,"OMEGA1.1","prse",NA
