"","tool","run","parameter","moment","value"
"1","nm7",1,"ofv","minimum","2353.21240698929"
"2","nm7",1,"THETA1","estimate","8.64914"
"3","nm7",1,"THETA1","prse",NA
"4","nm7",1,"THETA1","se",NA
"5","nm7",1,"THETA2","estimate","21.5594"
"6","nm7",1,"THETA2","prse",NA
"7","nm7",1,"THETA2","se",NA
"8","nm7",1,"THETA3","estimate","0.0766718"
"9","nm7",1,"THETA3","prse",NA
"10","nm7",1,"THETA3","se",NA
"11","nm7",1,"THETA4","estimate","4.05759"
"12","nm7",1,"THETA4","prse",NA
"13","nm7",1,"THETA4","se",NA
"14","nm7",1,"THETA5","estimate","106.257"
"15","nm7",1,"THETA5","prse",NA
"16","nm7",1,"THETA5","se",NA
"17","nm7",1,"THETA6","estimate","1.07562"
"18","nm7",1,"THETA6","prse",NA
"19","nm7",1,"THETA6","se",NA
"20","nm7",1,"THETA7","estimate","1.44318"
"21","nm7",1,"THETA7","prse",NA
"22","nm7",1,"THETA7","se",NA
"23","nm7",1,"OMEGA1.1","estimate","0.28165"
"24","nm7",1,"OMEGA1.1","prse",NA
"25","nm7",1,"OMEGA1.1","se",NA
"26","nm7",1,"OMEGA2.1","estimate","0.104011"
"27","nm7",1,"OMEGA2.1","prse",NA
"28","nm7",1,"OMEGA2.1","se",NA
"29","nm7",1,"OMEGA2.2","estimate","0.0742963"
"30","nm7",1,"OMEGA2.2","prse",NA
"31","nm7",1,"OMEGA2.2","se",NA
"32","nm7",1,"OMEGA3.1","estimate","0.00913698"
"33","nm7",1,"OMEGA3.1","prse",NA
"34","nm7",1,"OMEGA3.1","se",NA
"35","nm7",1,"OMEGA3.2","estimate","-0.0372135"
"36","nm7",1,"OMEGA3.2","prse",NA
"37","nm7",1,"OMEGA3.2","se",NA
"38","nm7",1,"OMEGA3.3","estimate","0.046212"
"39","nm7",1,"OMEGA3.3","prse",NA
"40","nm7",1,"OMEGA3.3","se",NA
"41","nm7",1,"SIGMA1.1","estimate","0.0438652"
"42","nm7",1,"SIGMA1.1","prse",NA
"43","nm7",1,"SIGMA1.1","se",NA
"44","nm7",1,"SIGMA2.1","estimate","0"
"45","nm7",1,"SIGMA2.1","prse",NA
"46","nm7",1,"SIGMA2.1","se",NA
"47","nm7",1,"SIGMA2.2","estimate","0.2611"
"48","nm7",1,"SIGMA2.2","prse",NA
"49","nm7",1,"SIGMA2.2","se",NA
"50","nm7",1,"cov","status","0"
"51","nm7",1,"prob","text","1 phase1 2 CMT like 1004 but diff. initial on V3"
"52","nm7",1,"min","status","0"
"53","nm7",1,"data","filename","../data/1.csv"
"54","nm7",2,"ofv","minimum","2575.40454742811"
"55","nm7",2,"THETA1","estimate","9.55068"
"56","nm7",2,"THETA1","prse",NA
"57","nm7",2,"THETA1","se",NA
"58","nm7",2,"THETA2","estimate","20.4081"
"59","nm7",2,"THETA2","prse",NA
"60","nm7",2,"THETA2","se",NA
"61","nm7",2,"THETA3","estimate","0.0782465"
"62","nm7",2,"THETA3","prse",NA
"63","nm7",2,"THETA3","se",NA
"64","nm7",2,"THETA4","estimate","3.50735"
"65","nm7",2,"THETA4","prse",NA
"66","nm7",2,"THETA4","se",NA
"67","nm7",2,"THETA5","estimate","134.884"
"68","nm7",2,"THETA5","prse",NA
"69","nm7",2,"THETA5","se",NA
"70","nm7",2,"THETA6","estimate","0.978555"
"71","nm7",2,"THETA6","prse",NA
"72","nm7",2,"THETA6","se",NA
"73","nm7",2,"THETA7","estimate","0.427236"
"74","nm7",2,"THETA7","prse",NA
"75","nm7",2,"THETA7","se",NA
"76","nm7",2,"OMEGA1.1","estimate","0.214583"
"77","nm7",2,"OMEGA1.1","prse",NA
"78","nm7",2,"OMEGA1.1","se",NA
"79","nm7",2,"OMEGA2.1","estimate","0.120086"
"80","nm7",2,"OMEGA2.1","prse",NA
"81","nm7",2,"OMEGA2.1","se",NA
"82","nm7",2,"OMEGA2.2","estimate","0.0741455"
"83","nm7",2,"OMEGA2.2","prse",NA
"84","nm7",2,"OMEGA2.2","se",NA
"85","nm7",2,"OMEGA3.1","estimate","-0.0471432"
"86","nm7",2,"OMEGA3.1","prse",NA
"87","nm7",2,"OMEGA3.1","se",NA
"88","nm7",2,"OMEGA3.2","estimate","-0.0433544"
"89","nm7",2,"OMEGA3.2","prse",NA
"90","nm7",2,"OMEGA3.2","se",NA
"91","nm7",2,"OMEGA3.3","estimate","0.0518576"
"92","nm7",2,"OMEGA3.3","prse",NA
"93","nm7",2,"OMEGA3.3","se",NA
"94","nm7",2,"SIGMA1.1","estimate","0.0478902"
"95","nm7",2,"SIGMA1.1","prse",NA
"96","nm7",2,"SIGMA1.1","se",NA
"97","nm7",2,"SIGMA2.1","estimate","0"
"98","nm7",2,"SIGMA2.1","prse",NA
"99","nm7",2,"SIGMA2.1","se",NA
"100","nm7",2,"SIGMA2.2","estimate","0.0935886"
"101","nm7",2,"SIGMA2.2","prse",NA
"102","nm7",2,"SIGMA2.2","se",NA
"103","nm7",2,"cov","status","0"
"104","nm7",2,"prob","text","2 phase1 2 CMT like 1004 but diff. initial on V3"
"105","nm7",2,"min","status","0"
"106","nm7",2,"data","filename","../data/2.csv"
"107","nm7",3,"ofv","minimum","2508.72005777134"
"108","nm7",3,"THETA1","estimate","5.49164"
"109","nm7",3,"THETA1","prse",NA
"110","nm7",3,"THETA1","se",NA
"111","nm7",3,"THETA2","estimate","17.5014"
"112","nm7",3,"THETA2","prse",NA
"113","nm7",3,"THETA2","se",NA
"114","nm7",3,"THETA3","estimate","0.0579242"
"115","nm7",3,"THETA3","prse",NA
"116","nm7",3,"THETA3","se",NA
"117","nm7",3,"THETA4","estimate","4.47414"
"118","nm7",3,"THETA4","prse",NA
"119","nm7",3,"THETA4","se",NA
"120","nm7",3,"THETA5","estimate","991"
"121","nm7",3,"THETA5","prse",NA
"122","nm7",3,"THETA5","se",NA
"123","nm7",3,"THETA6","estimate","1.28017"
"124","nm7",3,"THETA6","prse",NA
"125","nm7",3,"THETA6","se",NA
"126","nm7",3,"THETA7","estimate","1.57108"
"127","nm7",3,"THETA7","prse",NA
"128","nm7",3,"THETA7","se",NA
"129","nm7",3,"OMEGA1.1","estimate","0.470613"
"130","nm7",3,"OMEGA1.1","prse",NA
"131","nm7",3,"OMEGA1.1","se",NA
"132","nm7",3,"OMEGA2.1","estimate","0.238156"
"133","nm7",3,"OMEGA2.1","prse",NA
"134","nm7",3,"OMEGA2.1","se",NA
"135","nm7",3,"OMEGA2.2","estimate","0.161982"
"136","nm7",3,"OMEGA2.2","prse",NA
"137","nm7",3,"OMEGA2.2","se",NA
"138","nm7",3,"OMEGA3.1","estimate","0.0317947"
